"Id","Name","Code","ShortName","ShortNameLatin","Depots","IsCity","CityCode","IsSalePoint"
"163","БЛОК ПОСТ 297 КМ","2700156","БП 297 КМ","BP 297 KM",NULL,False,"27",False
"164","ЖЫРГАЛЫ","2700157","ЖЫРГАЛЫ","ZHYRGALY",NULL,False,"27",False
"165","ОСТ.ПУНКТ 332 КМ","2700158","ОП 332 КМ","OP 332 KM",NULL,False,"27",False
"166","ОСТ.ПУНКТ 111 КМ","2700159","ОП 111 КМ","OP 111 KM",NULL,False,"27",False
"167","ОСТ.ПУНКТ 627 КМ","2700160","ОП 627 КМ","OP 627 KM",NULL,False,"27",False
"168","ТАРЫ","2700161","ТАРЫ","TARY",NULL,False,"27",False
"169","РАЗ'ЕЗД N16","2700162","РЗД N16","RZD N16",NULL,False,"27",False
"170","ОП 2429 КМ ПК 4","2700163","ОП2429КМ ПК4","OP2429KM PK4",NULL,False,"27",False
"171","АЛТАЙ","2700164","АЛТАЙ","ALTAI",NULL,False,"27",False
"172","КЫЗЫЛАСКЕР","2700165","КЫЗЫЛАСКЕР","KYZYLASKER",NULL,False,"27",False
"173","ТАУАРАСЫ","2700166","ТАУАРАСЫ","TAUARASY",NULL,False,"27",False
"174","РАЗ'ЕЗД 202 КМ","2700167","РЗД 202 КМ","RZD 202 KM",NULL,False,"27",False
"175","РАЗ'ЕЗД 36 КМ","2700168","РЗД 36 КМ","RZD 36 KM",NULL,False,"27",False
"176","ОП 2364 КМ ПК 2","2700169","ОП2364КМ ПК2","OP2364KM PK2",NULL,False,"27",False
"177","ПУТЕВОЙ ПОСТ 696 КМ","2700170","ПП 696 КМ","PP 696 KM",NULL,False,"27",False
"178","ТЕКЕСУ","2700171","ТЕКЕСУ","TEKESU",NULL,False,"27",False
"179","ПУТЕВОЙ ПОСТ 767 КМ","2700172","ПП 767 КМ","PP 767 KM",NULL,False,"27",False
"180","ОСТ.ПУНКТ 165 КМ","2700173","ОП 165 КМ","OP 165 KM",NULL,False,"27",False
"181","ВХОДНАЯ","2700174","ВХОДНАЯ","VKHODNAIA",NULL,False,"27",False
"182","ОСТ.ПУНКТ 571 КМ","2700175","ОП 571 КМ","OP 571 KM",NULL,False,"27",False
"183","ОСТ.ПУНКТ 169 КМ","2700176","ОП 169 КМ","OP 169 KM",NULL,False,"27",False
"184","ОСТ.ПУНКТ 241 КМ","2700177","ОП 241 КМ","OP 241 KM",NULL,False,"27",False
"185","ОСТ.ПУНКТ 252 КМ","2700178","ОП 252 КМ","OP 252 KM",NULL,False,"27",False
"186","ОСТ.ПУНКТ 259 КМ","2700179","ОП 259 КМ","OP 259 KM",NULL,False,"27",False
